OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesPersonID,OrderStatus
O1046,8/14/2025,C1024,P1004,5,1022.28,0.02,E105,Returned
O1047,3/29/2025,C1136,P1063,5,726.24,0.05,E108,Returned
O1048,11/18/2024,C1033,P1009,4,275.81,0.12,E109,Delivered
O1049,12/22/2024,C1047,P1017,4,1299.01,0.07,E103,Pending
O1050,3/9/2025,C1193,P1043,5,184.25,0.14,E102,Delivered
O1051,5/30/2025,C1151,P1086,3,245.67,0.19,E109,Delivered
O1052,7/3/2025,C1096,P1074,2,668.04,0.17,E108,Pending
O1053,7/27/2024,C1083,P1068,3,301.51,0.11,E106,Returned
O1054,8/27/2024,C1097,P1044,4,930.13,0.01,E108,Delivered
O1055,11/16/2025,C1139,P1073,2,1382.4,0.15,E110,Returned
O1056,4/22/2024,C1042,P1029,5,432.81,0.1,E101,Delivered
O1057,8/31/2025,C1156,P1008,3,733.5,0.13,E113,Returned
O1058,3/1/2024,C1070,P1052,2,635.58,0.05,E110,Delivered
O1059,6/29/2024,C1067,P1100,1,611.03,0.18,E109,Returned
O1060,4/4/2024,C1039,P1064,3,553.75,0.09,E100,Pending
O1061,12/15/2025,C1019,P1094,2,1091.35,0.06,E114,Delivered
O1062,5/24/2025,C1195,P1018,4,1363.25,0.09,E111,Delivered
O1063,6/10/2025,C1046,P1026,4,1154.15,0.03,E109,Returned
O1064,2/28/2025,C1109,P1047,5,1179.98,0.06,E102,Returned
O1065,5/11/2024,C1133,P1082,5,1435.18,0.03,E110,Returned
O1066,9/20/2024,C1101,P1052,5,1359.91,0.06,E111,Pending
O1067,11/19/2024,C1011,P1062,5,946.57,0.15,E111,Pending
O1068,11/29/2025,C1010,P1061,3,471.13,0.07,E101,Pending
O1069,12/30/2024,C1012,P1082,3,1481.16,0.08,E101,Pending
O1070,9/1/2025,C1004,P1054,3,1075.07,0.13,E104,Returned
O1071,5/6/2025,C1098,P1031,5,987.27,0.15,E103,Delivered
O1072,9/29/2024,C1029,P1014,1,803.88,0.01,E114,Returned
O1073,9/7/2024,C1118,P1099,5,341.8,0.04,E103,Delivered
O1074,1/24/2025,C1035,P1040,5,585.03,0.12,E102,Delivered
O1075,1/28/2025,C1043,P1086,4,383.14,0.05,E102,Pending
O1076,9/6/2024,C1058,P1008,1,243.64,0.08,E108,Returned
O1077,1/16/2025,C1004,P1073,5,529.65,0.12,E114,Delivered
O1078,3/4/2025,C1078,P1051,2,1001.76,0,E103,Delivered
O1079,5/6/2025,C1150,P1044,4,1210.1,0.04,E108,Delivered
O1080,8/31/2024,C1191,P1046,5,1014,0.05,E109,Delivered
O1081,3/11/2024,C1177,P1040,4,303.26,0.02,E102,Pending
O1082,4/15/2025,C1105,P1087,2,1405.02,0.1,E101,Delivered
O1083,10/4/2024,C1037,P1022,3,1382.5,0.14,E112,Pending
O1084,9/18/2025,C1012,P1093,2,264,0.07,E104,Returned
O1085,9/7/2025,C1030,P1059,3,478.45,0.15,E112,Pending
O1086,5/20/2025,C1002,P1023,4,348.44,0.02,E103,Returned
O1087,12/30/2025,C1152,P1025,5,802.52,0.06,E103,Returned
O1088,12/15/2025,C1086,P1098,4,802.19,0.19,E113,Delivered
O1089,1/14/2025,C1183,P1007,2,1436.29,0.13,E114,Delivered
O1090,3/16/2024,C1009,P1072,4,460.78,0.12,E109,Pending
O1091,5/28/2024,C1083,P1009,1,374.38,0.06,E101,Pending
O1092,2/7/2024,C1124,P1005,1,136.69,0.01,E110,Delivered
O1093,8/4/2025,C1095,P1067,2,502.05,0.04,E114,Returned
O1094,12/21/2024,C1101,P1087,3,483.69,0.04,E100,Returned
O1095,10/1/2025,C1021,P1028,4,591.14,0.02,E100,Pending
O1096,4/8/2024,C1038,P1055,2,150.2,0.09,E113,Pending
O1097,10/19/2025,C1189,P1085,5,638.41,0.18,E111,Delivered
O1098,9/2/2025,C1141,P1059,3,815.23,0.11,E111,Pending
O1099,8/26/2024,C1049,P1012,1,1146.21,0.06,E105,Returned
O1100,10/21/2024,C1053,P1027,4,446.83,0.03,E100,Delivered
O1101,12/18/2024,C1155,P1006,1,333.36,0.03,E107,Returned
O1102,4/28/2024,C1129,P1039,3,867.85,0.05,E100,Delivered
O1103,10/15/2025,C1065,P1098,5,619.05,0.01,E112,Delivered
O1104,2/25/2024,C1130,P1025,2,1006.62,0.02,E104,Pending
O1105,2/14/2024,C1181,P1017,4,1053.36,0.18,E110,Returned
O1106,3/15/2025,C1124,P1062,3,1129.8,0.11,E112,Delivered
O1107,9/12/2025,C1196,P1051,1,428.77,0.2,E109,Returned
O1108,2/7/2024,C1038,P1070,5,170.66,0.04,E109,Pending
O1109,9/13/2024,C1143,P1024,1,76.5,0.07,E100,Pending
O1110,6/4/2025,C1023,P1026,2,982.16,0,E107,Pending
O1111,10/24/2024,C1086,P1050,5,30.04,0.13,E100,Returned
O1112,1/25/2024,C1095,P1019,2,1177.97,0.11,E111,Returned
O1113,6/23/2024,C1158,P1060,4,60.21,0.19,E102,Delivered
O1114,8/16/2024,C1190,P1048,2,611.06,0.09,E114,Delivered
O1115,9/14/2025,C1031,P1031,2,1091.34,0.11,E103,Delivered
O1116,4/26/2024,C1033,P1017,4,121.18,0.09,E109,Pending
O1117,7/7/2024,C1169,P1063,4,1050.62,0.2,E110,Delivered
O1118,1/12/2024,C1039,P1089,2,1202.88,0.09,E113,Pending
O1119,9/4/2025,C1023,P1037,5,1267.19,0.08,E102,Delivered
O1120,5/1/2025,C1191,P1044,2,572.1,0.19,E101,Returned
O1121,1/29/2025,C1039,P1086,1,1164.24,0.19,E105,Delivered
O1122,2/2/2025,C1117,P1053,1,876.19,0.18,E110,Delivered
O1123,8/26/2024,C1049,P1010,5,1371.49,0.17,E103,Delivered
O1124,10/9/2025,C1000,P1025,5,1214.92,0.03,E106,Pending
O1125,8/24/2025,C1190,P1009,2,32.17,0.03,E101,Returned
O1126,3/29/2024,C1159,P1006,2,956.86,0.19,E101,Pending
O1127,6/25/2024,C1137,P1016,5,381.51,0.03,E106,Returned
O1128,2/12/2024,C1159,P1083,1,298.17,0.06,E112,Pending
O1129,11/24/2024,C1141,P1038,4,306.03,0.1,E101,Returned
O1130,3/14/2024,C1142,P1004,4,578.53,0.11,E107,Pending
O1131,5/19/2025,C1017,P1044,5,942.81,0.17,E100,Returned
O1132,11/21/2024,C1089,P1083,3,1461.47,0.19,E107,Delivered
O1133,5/30/2024,C1016,P1087,5,737.52,0.17,E112,Returned
O1134,1/5/2025,C1039,P1031,1,927.69,0.12,E107,Returned
O1135,11/7/2025,C1000,P1026,3,100.97,0.07,E110,Delivered
O1136,2/17/2024,C1189,P1100,2,695.08,0.04,E114,Pending
O1137,1/29/2025,C1189,P1068,5,935.2,0.07,E110,Returned
O1138,12/13/2025,C1128,P1024,2,719.37,0.05,E102,Delivered
O1139,7/9/2024,C1115,P1040,3,120.23,0.17,E112,Pending
O1140,1/22/2025,C1020,P1020,4,701.19,0.19,E109,Returned
O1141,1/7/2025,C1195,P1087,3,863.41,0.04,E105,Returned
O1142,5/31/2025,C1186,P1066,5,532.73,0.06,E113,Pending
O1143,8/25/2025,C1011,P1088,1,1434.56,0.05,E103,Delivered
O1144,7/19/2024,C1093,P1056,1,56.33,0.15,E111,Returned
O1145,3/9/2025,C1026,P1094,3,1461.87,0.14,E113,Delivered
O1146,4/7/2025,C1117,P1025,4,964.59,0.16,E101,Pending
O1147,1/11/2024,C1067,P1031,2,1340.69,0.05,E107,Returned
O1148,11/20/2025,C1177,P1091,5,1216.76,0.09,E107,Returned
O1149,10/24/2024,C1150,P1081,4,467.77,0.11,E110,Delivered
O1150,8/24/2025,C1186,P1056,1,1271.67,0.2,E109,Pending
O1151,4/8/2024,C1136,P1014,3,300.87,0.18,E110,Pending
O1152,10/1/2025,C1029,P1040,3,1398.57,0.05,E100,Pending
O1153,2/14/2025,C1180,P1007,3,927.11,0.02,E110,Delivered
O1154,9/28/2024,C1020,P1032,2,675.64,0.14,E101,Pending
O1155,9/25/2024,C1001,P1030,4,1108.45,0.12,E108,Returned
O1156,7/31/2024,C1119,P1042,3,425.59,0.05,E104,Returned
O1157,11/19/2025,C1164,P1092,3,924.59,0.1,E102,Delivered
O1158,7/9/2024,C1019,P1022,2,505.09,0.06,E104,Pending
O1159,7/5/2024,C1041,P1066,5,999.85,0.1,E106,Delivered
O1160,12/16/2024,C1112,P1025,2,1077.25,0.19,E107,Delivered
O1161,11/27/2024,C1039,P1065,3,134.74,0.09,E113,Pending
O1162,12/3/2025,C1131,P1003,2,983.32,0.13,E110,Returned
O1163,4/17/2024,C1106,P1098,5,295.19,0.07,E108,Delivered
O1164,10/15/2024,C1068,P1063,1,476.7,0.11,E101,Returned
O1165,9/29/2025,C1170,P1032,1,647.91,0.18,E111,Returned
O1166,2/2/2024,C1192,P1038,2,798.77,0.11,E114,Delivered
O1167,9/30/2024,C1153,P1013,2,1317.92,0.08,E110,Returned
O1168,12/23/2024,C1020,P1019,4,1007.16,0.09,E103,Delivered
O1169,11/29/2024,C1183,P1059,3,1076.59,0.08,E110,Returned
O1170,4/2/2025,C1044,P1052,1,1406.92,0.19,E108,Pending
O1171,9/1/2024,C1113,P1046,4,415.08,0.02,E114,Returned
O1172,1/24/2024,C1171,P1023,1,551.03,0.18,E113,Returned
O1173,6/26/2025,C1016,P1022,1,178.43,0.11,E100,Returned
O1174,4/8/2025,C1051,P1013,2,835.05,0.05,E100,Pending
O1175,6/12/2025,C1029,P1075,4,316.12,0.14,E100,Pending
O1176,5/20/2024,C1124,P1018,5,672.72,0.12,E113,Returned
O1177,8/11/2024,C1087,P1035,5,889.97,0.16,E114,Delivered
O1178,9/17/2025,C1121,P1051,2,964.22,0.04,E111,Delivered
O1179,10/30/2025,C1006,P1072,5,1170.39,0.13,E103,Pending
O1180,11/27/2024,C1139,P1074,4,1476.95,0.07,E109,Returned
O1181,7/29/2025,C1158,P1066,3,1259.44,0.16,E109,Delivered
O1182,3/26/2024,C1189,P1100,4,1100.14,0.13,E100,Returned
O1183,8/26/2025,C1082,P1054,4,1463.16,0.01,E101,Delivered
O1184,6/14/2024,C1075,P1012,1,1374.79,0.02,E102,Delivered
O1185,12/9/2024,C1125,P1052,1,873.16,0.05,E105,Delivered
O1186,12/31/2024,C1099,P1064,2,942.65,0.01,E110,Returned
O1187,11/27/2025,C1018,P1029,4,627.47,0.05,E112,Returned
O1188,12/2/2024,C1025,P1076,5,969.8,0.08,E108,Delivered
O1189,8/20/2024,C1130,P1038,3,288.87,0.14,E113,Delivered
O1190,4/4/2024,C1028,P1043,2,1446.38,0.12,E110,Pending
O1191,6/15/2024,C1164,P1054,3,106.9,0.01,E114,Pending
O1192,4/23/2024,C1167,P1035,3,1018.1,0.19,E111,Returned
O1193,8/31/2025,C1109,P1003,4,216.65,0.12,E103,Pending
O1194,4/16/2024,C1043,P1079,4,890.62,0.07,E110,Pending
O1195,8/17/2025,C1134,P1066,5,549.67,0.1,E112,Pending
O1196,10/3/2024,C1074,P1005,1,323.33,0.07,E106,Pending
O1197,3/14/2024,C1179,P1097,4,454.37,0.04,E107,Returned
O1198,9/17/2025,C1175,P1051,1,440.19,0.14,E104,Returned
O1199,1/14/2024,C1022,P1022,5,563.17,0.17,E111,Returned
O1200,9/2/2025,C1030,P1022,2,492.78,0.08,E108,Delivered
O1201,1/3/2025,C1165,P1029,2,330.41,0.08,E107,Pending
O1202,10/11/2025,C1098,P1020,2,536.47,0.03,E105,Delivered
O1203,12/27/2025,C1128,P1017,2,950.62,0.06,E105,Returned
O1204,4/23/2024,C1085,P1089,3,1446.72,0.02,E110,Returned
O1205,5/15/2024,C1027,P1002,3,790.41,0.03,E102,Returned
O1206,4/22/2025,C1085,P1006,3,140.46,0.03,E108,Pending
O1207,5/7/2024,C1062,P1009,4,1115.57,0.17,E106,Delivered
O1208,2/16/2024,C1166,P1098,5,541.67,0.02,E103,Pending
O1209,2/22/2024,C1077,P1008,2,1378.71,0.09,E110,Delivered
O1210,5/23/2024,C1120,P1007,2,112.29,0.16,E107,Returned
O1211,11/4/2024,C1054,P1051,2,169.24,0.17,E104,Pending
O1212,4/10/2025,C1009,P1057,4,528.13,0.07,E105,Delivered
O1213,8/28/2025,C1123,P1029,2,871.38,0.07,E107,Pending
O1214,2/11/2024,C1064,P1041,5,96.63,0.02,E102,Pending
O1215,8/11/2025,C1171,P1077,1,1183.91,0.17,E112,Returned
O1216,10/18/2025,C1100,P1081,4,699.84,0.15,E110,Delivered
O1217,4/2/2024,C1103,P1045,4,1335.54,0.06,E105,Returned
O1218,3/17/2025,C1124,P1068,3,687.33,0.11,E113,Pending
O1219,3/4/2025,C1098,P1078,5,983.58,0.05,E111,Delivered
O1220,9/30/2024,C1147,P1002,4,115.25,0.17,E103,Delivered
O1221,11/11/2024,C1071,P1092,3,1446.51,0.17,E109,Delivered
O1222,10/17/2025,C1045,P1059,4,556.37,0.06,E102,Delivered
O1223,12/15/2024,C1134,P1083,1,535.45,0.13,E101,Pending
O1224,7/3/2025,C1033,P1038,3,42.54,0.17,E100,Returned
O1225,11/29/2025,C1170,P1033,5,848.68,0.13,E101,Delivered
O1226,12/11/2025,C1102,P1011,1,1073.93,0.11,E109,Pending
O1227,1/14/2024,C1083,P1012,1,623.89,0.14,E100,Delivered
O1228,6/5/2024,C1187,P1042,5,419.92,0,E104,Returned
O1229,1/20/2024,C1130,P1064,5,1276.3,0.03,E109,Delivered
O1230,7/29/2024,C1172,P1080,4,219.3,0.15,E103,Pending
O1231,5/28/2025,C1025,P1058,1,422.31,0.07,E105,Pending
O1232,5/1/2025,C1005,P1033,5,1018.71,0.11,E107,Returned
O1233,9/13/2025,C1145,P1075,3,367.59,0.19,E111,Returned
O1234,6/5/2024,C1114,P1018,3,253.9,0.08,E100,Pending
O1235,2/13/2024,C1001,P1018,4,447.18,0.17,E113,Returned
O1236,10/1/2024,C1086,P1095,2,487.01,0.19,E114,Pending
O1237,9/5/2024,C1193,P1005,1,1035.28,0.01,E104,Delivered
O1238,2/16/2025,C1013,P1032,2,697.04,0.08,E102,Pending
O1239,6/21/2024,C1109,P1056,5,1497.57,0.16,E106,Delivered
O1240,2/10/2025,C1111,P1093,3,105.25,0.01,E109,Pending
O1241,7/23/2024,C1112,P1040,1,1079.98,0.2,E100,Pending
O1242,10/4/2024,C1023,P1021,2,1267.63,0.02,E114,Delivered
O1243,8/8/2025,C1092,P1087,1,512.92,0.18,E106,Delivered
O1244,11/11/2024,C1042,P1041,1,953.75,0.03,E113,Delivered
O1245,10/26/2024,C1006,P1048,1,1237.61,0.14,E110,Delivered
O1246,11/19/2024,C1071,P1055,2,907.3,0.05,E101,Returned
O1247,12/11/2024,C1063,P1093,3,938.29,0.03,E111,Delivered
O1248,1/20/2025,C1119,P1075,4,1046.01,0.04,E105,Returned
O1249,11/22/2025,C1126,P1075,1,1070.42,0.05,E113,Pending
O1250,10/11/2025,C1038,P1072,2,1383.24,0.03,E105,Returned
O1251,4/23/2025,C1133,P1006,3,1116.85,0.01,E111,Pending
O1252,7/7/2024,C1056,P1045,4,730.61,0.06,E114,Delivered
O1253,4/18/2025,C1142,P1016,4,1002.58,0.01,E110,Delivered
O1254,6/30/2024,C1142,P1075,2,261.95,0.01,E112,Returned
O1255,7/6/2025,C1198,P1040,3,1443.66,0.07,E113,Pending
O1256,3/31/2025,C1127,P1015,1,580.29,0.06,E107,Pending
O1257,4/13/2024,C1035,P1002,3,634.01,0.05,E113,Returned
O1258,7/11/2024,C1153,P1096,2,925.49,0.09,E100,Returned
O1259,4/22/2024,C1147,P1094,4,39.26,0.01,E109,Returned
O1260,6/4/2025,C1088,P1060,2,434.22,0.1,E108,Delivered
O1261,2/26/2025,C1090,P1094,1,847.6,0.01,E104,Pending
O1262,11/29/2024,C1085,P1010,3,1246.66,0.19,E100,Pending
O1263,3/16/2025,C1035,P1059,4,406.61,0.07,E110,Pending
O1264,10/10/2024,C1185,P1099,4,1124.82,0.09,E102,Delivered
O1265,8/2/2025,C1052,P1098,5,303.5,0.14,E105,Delivered
O1266,2/7/2024,C1138,P1018,4,1071.22,0.07,E102,Delivered
O1267,7/8/2025,C1184,P1080,5,355.21,0.16,E110,Returned
O1268,7/8/2025,C1074,P1064,4,712.6,0.19,E107,Returned
O1269,12/2/2024,C1144,P1024,1,1344.22,0.07,E108,Returned
O1270,2/21/2024,C1150,P1099,1,65.26,0.16,E103,Returned
O1271,12/7/2025,C1125,P1095,1,273.7,0.05,E108,Delivered
O1272,4/12/2025,C1056,P1064,2,620.64,0.11,E104,Returned
O1273,9/29/2024,C1014,P1076,4,739.43,0.01,E109,Delivered
O1274,3/21/2024,C1039,P1004,2,261.51,0.19,E107,Returned
O1275,12/3/2024,C1196,P1068,3,1218.01,0.18,E105,Delivered
O1276,4/15/2024,C1099,P1054,4,627.31,0.17,E108,Returned
O1277,4/2/2024,C1155,P1045,3,1217.6,0.03,E108,Pending
O1278,12/29/2025,C1014,P1010,1,439.24,0.11,E112,Returned
O1279,1/15/2024,C1142,P1043,4,396.89,0.14,E108,Pending
O1280,2/14/2025,C1091,P1070,3,946.93,0.19,E110,Pending
O1281,9/28/2025,C1087,P1097,3,503.76,0.01,E108,Returned
O1282,6/30/2024,C1145,P1080,2,1346.53,0.1,E103,Pending
O1283,3/18/2025,C1041,P1056,5,1202.5,0.05,E107,Delivered
O1284,1/10/2024,C1077,P1065,1,56.96,0.18,E109,Pending
O1285,8/22/2025,C1068,P1073,2,883.57,0.06,E106,Returned
O1286,7/20/2025,C1130,P1045,1,1072.62,0.04,E110,Pending
O1287,3/30/2024,C1051,P1020,3,1031.48,0.12,E109,Pending
O1288,1/30/2025,C1126,P1021,3,717.93,0.19,E114,Returned
O1289,8/9/2024,C1057,P1100,5,573.33,0.19,E100,Delivered
O1290,11/19/2025,C1021,P1096,2,1172.35,0.02,E109,Returned
O1291,8/31/2025,C1071,P1042,4,499.57,0.14,E114,Delivered
O1292,7/14/2024,C1063,P1041,5,1228.65,0.1,E100,Returned
O1293,1/11/2024,C1187,P1059,2,75.52,0.1,E113,Delivered
O1294,8/7/2025,C1119,P1024,3,133.07,0.08,E113,Pending
O1295,9/20/2025,C1136,P1009,3,61.19,0.18,E101,Delivered
O1296,8/1/2025,C1034,P1091,2,26.37,0.07,E111,Returned
O1297,5/1/2024,C1005,P1078,2,369.7,0.09,E102,Delivered
O1298,6/19/2024,C1055,P1008,3,122.24,0.05,E110,Delivered
O1299,1/1/2025,C1078,P1070,1,744.1,0.09,E106,Returned
O1300,12/23/2024,C1147,P1021,1,1041.42,0.15,E112,Returned
O1301,12/2/2024,C1000,P1016,4,1332.07,0.13,E109,Returned
O1302,2/13/2024,C1128,P1061,5,1422.78,0.12,E109,Delivered
O1303,3/5/2025,C1090,P1023,4,197.73,0.19,E110,Returned
O1304,4/10/2025,C1016,P1087,2,541.06,0.01,E101,Returned
O1305,9/3/2025,C1162,P1049,4,335.94,0.2,E100,Delivered
O1306,1/1/2025,C1105,P1039,4,1256.31,0.03,E111,Returned
O1307,3/14/2025,C1153,P1092,5,1017.9,0.11,E114,Delivered
O1308,9/28/2025,C1012,P1049,5,812.37,0.14,E105,Pending
O1309,12/31/2025,C1170,P1096,1,129.75,0.11,E112,Returned
O1310,9/26/2024,C1147,P1058,1,214.89,0.14,E107,Pending
O1311,11/30/2024,C1025,P1018,3,323.56,0.02,E109,Returned
O1312,4/1/2024,C1038,P1042,1,913.93,0.04,E100,Pending
O1313,6/5/2024,C1054,P1021,3,1315.23,0.15,E104,Pending
O1314,12/28/2024,C1015,P1031,5,1430.74,0.08,E110,Returned
O1315,8/17/2024,C1151,P1061,2,805.72,0.15,E102,Returned
O1316,1/30/2024,C1191,P1013,3,988.55,0.04,E100,Returned
O1317,8/28/2024,C1122,P1075,2,1381.24,0.14,E114,Delivered
O1318,6/2/2025,C1090,P1043,2,1484.22,0.17,E105,Pending
O1319,8/18/2024,C1108,P1053,1,1157.53,0.07,E113,Returned
O1320,4/15/2025,C1179,P1084,2,244.87,0.1,E113,Returned
O1321,10/6/2024,C1061,P1080,1,1477.89,0.12,E104,Pending
O1322,8/5/2025,C1030,P1099,1,338.24,0.09,E106,Pending
O1323,11/4/2025,C1087,P1010,3,48.86,0.16,E114,Returned
O1324,10/29/2025,C1179,P1080,5,906.17,0.06,E101,Delivered
O1325,4/25/2025,C1059,P1075,1,724.6,0.18,E105,Delivered
O1326,4/23/2024,C1167,P1092,5,598.05,0.01,E114,Pending
O1327,11/5/2025,C1063,P1018,4,1120.49,0.09,E114,Delivered
O1328,8/28/2025,C1080,P1059,4,268.07,0.03,E113,Pending
O1329,4/22/2025,C1070,P1039,4,577.83,0.06,E100,Delivered
O1330,12/6/2024,C1176,P1027,2,1163.71,0.08,E104,Returned
O1331,10/21/2025,C1138,P1046,1,1341.41,0.06,E110,Returned
O1332,1/3/2024,C1156,P1045,3,518.62,0.1,E100,Pending
O1333,3/7/2024,C1160,P1061,2,975.7,0.1,E100,Pending
O1334,2/26/2025,C1095,P1018,3,240.36,0.07,E104,Pending
O1335,9/18/2025,C1099,P1064,4,171.49,0.2,E101,Pending
O1336,10/4/2025,C1126,P1038,3,1495.15,0.01,E100,Returned
O1337,2/18/2025,C1146,P1071,2,1222.31,0.01,E106,Pending
O1338,5/4/2025,C1105,P1065,3,994.05,0.13,E102,Returned
O1339,4/9/2025,C1009,P1082,5,725.45,0.06,E108,Delivered
O1340,3/5/2025,C1035,P1002,3,970.45,0.03,E110,Returned
O1341,9/3/2025,C1120,P1007,4,402.14,0.07,E104,Delivered
O1342,7/6/2024,C1016,P1094,2,1210.05,0.17,E114,Delivered
O1343,7/30/2024,C1045,P1062,1,1066.9,0.01,E104,Pending
O1344,1/7/2025,C1147,P1095,1,1167.88,0.07,E113,Pending
O1345,1/3/2025,C1011,P1003,1,1473.75,0.15,E103,Pending
O1346,11/26/2024,C1094,P1085,4,265.91,0.16,E104,Returned
O1347,7/11/2024,C1130,P1023,1,979.41,0.13,E108,Pending
O1348,11/14/2025,C1155,P1017,4,121.33,0.13,E106,Delivered
O1349,7/10/2025,C1037,P1083,4,1367.69,0.16,E111,Returned
O1350,2/10/2025,C1027,P1073,1,156.44,0.07,E111,Pending
O1351,4/5/2025,C1161,P1029,5,265.06,0.18,E100,Delivered
O1352,12/30/2025,C1012,P1036,3,1125.46,0.05,E102,Pending
O1353,10/4/2024,C1178,P1020,5,308.06,0.06,E100,Pending
O1354,10/26/2025,C1187,P1095,5,474.06,0.09,E109,Pending
O1355,6/7/2024,C1166,P1067,2,1028.76,0.13,E106,Returned
O1356,11/12/2025,C1027,P1045,1,933.44,0.04,E103,Pending
O1357,11/1/2025,C1065,P1094,4,157.74,0.12,E111,Pending
O1358,8/24/2024,C1043,P1050,1,169.58,0.16,E102,Delivered
O1359,10/20/2024,C1143,P1081,4,1106.74,0.04,E103,Returned
O1360,6/15/2025,C1007,P1095,4,208.92,0,E114,Pending
O1361,1/21/2025,C1168,P1090,1,849,0.06,E102,Delivered
O1362,6/20/2024,C1042,P1058,3,35.59,0.12,E108,Delivered
O1363,3/16/2024,C1178,P1004,3,310.95,0.16,E108,Pending
O1364,5/6/2024,C1076,P1050,1,281.26,0.16,E103,Returned
O1365,8/4/2025,C1167,P1094,1,1400.99,0.05,E110,Pending
O1366,7/5/2024,C1029,P1053,2,308.77,0.02,E101,Returned
O1367,5/26/2024,C1063,P1037,2,364.89,0.04,E114,Returned
O1368,10/22/2025,C1010,P1086,3,1215.27,0.06,E113,Pending
O1369,8/6/2025,C1012,P1030,4,178.09,0.01,E114,Delivered
O1370,6/5/2025,C1119,P1020,4,679.86,0.01,E105,Pending
O1371,12/26/2024,C1000,P1016,1,1105.14,0.14,E113,Returned
O1372,1/2/2025,C1071,P1007,1,1112.84,0,E110,Pending
O1373,1/20/2024,C1151,P1027,2,980.51,0.05,E104,Delivered
O1374,8/28/2025,C1108,P1032,4,1036.42,0.01,E101,Returned
O1375,2/15/2025,C1177,P1068,4,609.67,0.14,E107,Pending
O1376,7/13/2025,C1182,P1034,2,362.47,0.07,E113,Delivered
O1377,8/17/2024,C1016,P1045,2,112.86,0.14,E112,Pending
O1378,11/30/2025,C1101,P1087,3,1389.32,0.14,E103,Pending
